StockCode,dayofweek,month,ActualQuantity,PredictedQuantity
185,2,4,1,6.294083333333333
423,2,4,2,9.226666666666667
1675,4,11,2,8.825
2146,6,8,1,12.591083333333332
1597,2,4,8,16.591630952380953
349,1,10,2,14.535452380952385
1429,1,12,29,43.257047619047626
1932,3,8,24,24.296
794,2,2,1,1.2685714285714287
314,3,1,2,2.91
3341,2,12,5,3.294904761904762
2863,4,8,14,7.327666666666667
1626,1,12,62,7.169333333333335
1857,4,5,24,20.915190476190478
2018,6,5,4,32.778333333333336
1406,0,12,1,7.653666666666667
847,4,1,6,3.291944444444445
1224,1,12,4,1.7846666666666666
2087,6,10,1,1.84
3232,2,10,12,2.6719999999999997
1329,2,1,6,3.924357142857143
1435,3,12,12,31.54094444444445
663,0,10,20,4.831
391,2,11,11,17.65433333333333
829,2,10,26,33.520333333333326
1485,6,9,12,12.4
867,4,12,24,3.7993571428571435
1450,4,11,16,25.65304761904762
3319,3,9,26,24.01319047619048
1848,4,7,3,194.067
993,1,11,42,22.968230158730158
2012,2,11,1,3.9601666666666664
1442,1,3,24,7.305190476190476
721,2,4,12,9.761999999999999
2135,4,11,5,29.320952380952377
2053,2,7,11,19.028761904761907
216,0,5,8,5.06
1702,6,8,2,2.832738095238095
1496,6,1,11,2.3984126984126983
893,3,4,24,41.683166666666665
286,1,12,24,15.359999999999998
96,1,11,10,10.53
2831,4,7,12,11.44209523809524
3230,3,12,2,30.222305555555558
805,1,6,8,15.54367857142857
556,0,1,1,9.193833333333334
3094,2,3,12,15.685
924,2,2,1,24.754499999999997
676,3,2,1,3.8909999999999996
628,4,2,24,23.868166666666667
2667,2,5,2,4.998333333333333
1010,2,11,1,27.122976190476194
2847,2,11,22,5.128333333333334
1059,4,10,959,31.13333333333334
1648,3,9,4,6.025
2685,2,11,1,5.526833333333334
1715,3,12,1,12.33
1351,0,11,3,9.095333333333333
767,4,9,1,6.1754999999999995
283,4,7,1,4.765333333333333
3883,3,12,1,3.9656841736694677
409,2,3,72,7.656404761904764
344,4,2,2,2.878809523809524
184,6,12,8,4.3468333333333335
3134,3,1,24,13.939642857142857
143,1,7,8,33.56876190476191
1897,3,7,3,3.54
1547,4,11,9,16.932583333333334
1424,0,2,4,4.205666666666667
721,2,12,192,38.337999999999994
2864,0,3,8,7.052246031746034
1195,3,9,6,8.671333333333333
2292,1,11,2,1.9766666666666666
1027,1,7,3,5.865904761904761
1285,1,12,1,12.001666666666667
630,3,12,24,9.885833333333338
1976,1,3,8,33.3840238095238
2654,4,1,51,16.587095238095237
3152,3,11,1,3.83
1983,6,9,2,2.2842857142857143
1601,1,8,18,5.834166666666667
1574,1,1,2,25.47
1400,6,4,2,10.7685
3037,4,6,1,1.1136666666666668
393,4,1,11,69.71616666666667
1543,4,9,12,3.1825
3590,1,11,1,1.02
1651,6,2,1,1.87
1430,2,11,25,8.84995238095238
1103,1,6,1,2.4050476190476195
881,6,11,4,12.355761904761902
1350,3,7,1,71.07714285714286
1133,4,6,24,12.496000000000002
1768,3,5,56,61.36611904761905
2156,1,10,1,31.776404761904768
1528,1,4,31,5.321369047619048
824,1,11,8,33.1147857142857
150,4,7,6,12.696666666666665
1597,2,8,4,8.906202380952381
1552,3,10,1,6.088333333333334
2133,1,8,48,48.37653571428572
894,3,1,1,28.012476190476196
2749,3,9,2,20.05919047619048
1589,1,2,9,68.7337142857143
3319,4,9,36,39.81959523809523
1032,0,10,12,4.583333333333333
2862,2,5,8,11.037619047619048
3343,3,8,4,27.66833333333333
14,0,5,6,1.874
1957,2,12,16,10.783333333333335
3209,1,6,5,11.87088888888889
1626,3,9,12,24.164
293,1,6,3,16.23635714285714
2880,3,12,48,6.823761904761902
2177,4,12,1,44.163000000000004
1350,3,12,7,10.979166666666664
2855,0,7,3,11.569880952380952
1193,3,8,48,38.53
1777,6,9,5,5.300333333333333
450,6,6,75,10.3015
844,0,7,1,2.557119047619047
3531,6,5,3,1.92
2124,6,10,1,2.558809523809524
1616,4,5,6,31.160500000000003
1802,1,10,4,11.042269841269842
2712,1,10,30,10.807666666666666
3874,1,3,7,3.783809523809522
411,1,5,32,57.543428571428564
854,4,1,12,19.906500000000005
1229,0,7,4,11.59209523809524
783,0,1,34,10.284380952380952
1978,4,11,4,2.8024999999999993
3167,1,9,58,111.52171428571431
2959,3,12,1,2.6800119047619044
1518,4,6,12,9.390333333333333
148,3,6,1,3.3990000000000005
279,4,5,1,2.1515
2163,2,8,193,24.386571428571433
2024,0,9,4,15.900761904761907
927,4,2,24,70.49833333333333
486,0,10,12,29.52133333333333
718,0,8,12,13.050714285714287
711,0,1,1,5.60197619047619
1431,3,9,24,24.323571428571427
933,0,12,1,20.925928571428567
860,2,3,36,8.680499999999999
897,3,5,4,15.817333333333334
3170,3,1,1,6.7890303030303025
854,4,4,18,11.26
175,3,9,16,32.47909523809525
615,0,11,82,12.250761904761905
2348,2,12,6,7.72
1616,4,1,7,3.5062142857142864
1649,4,5,3,6.593738095238094
1076,2,4,1,2.236666666666667
2168,3,10,2,22.893261904761903
414,0,5,4,6.905
2023,4,11,4,4.308285714285714
1133,1,7,3,3.954166666666666
2452,2,12,25,46.64883333333333
1852,6,8,6,6.774666666666667
